ZIP_CODE,POPULATION_2010,HOUSING_2010,LAND_AREA_SQ_METER,LAND_AREA_SQ_MILES,LATITUDE,LONGITUD,COUNTY
94501,60212,27087,20539466,7.93,37.773796999999995,-122.278123,Alameda
94502,13600,5264,6942292,2.68,37.737572,-122.245507,Alameda
94503,19681,6064,33556323,12.956,38.186535,-122.26456499999999,Napa
94505,13403,5452,42133370,16.268,37.871707,-121.596957,Contra Costa
94505,13403,5452,42133370,16.268,37.871707,-121.596957,Contra Costa
94506,22452,7788,48664719,18.79,37.809418,-121.912929,Contra Costa
94507,14889,5528,32888775,12.698,37.850398999999996,-122.02111299999999,Contra Costa
94508,3661,1213,45184656,17.445999999999998,38.576617999999996,-122.44438799999999,Napa
94509,62439,22500,42552559,16.43,37.996501,-121.812301,Contra Costa
94510,27088,11338,72389963,27.95,38.098071000000004,-122.13593999999999,Solano
94511,2137,1327,14411147,5.564,38.029003,-121.64056599999999,Contra Costa
94512,108,41,52217895,20.160999999999998,38.134852,-121.83415600000001,Solano
94513,54605,18644,195948049,75.656,37.922228000000004,-121.66835900000001,Contra Costa
94514,1360,468,74350346,28.706999999999997,37.826372,-121.622546,Contra Costa
94514,1360,468,74350346,28.706999999999997,37.826372,-121.622546,Contra Costa
94515,7050,3517,273632265,105.65,38.634822,-122.615051,Sonoma
94515,7050,3517,273632265,105.65,38.634822,-122.615051,Sonoma
94516,211,91,2264979,0.875,37.833901000000004,-122.165034,Contra Costa
94517,12385,4662,148195672,57.218999999999994,37.890221000000004,-121.878359,Contra Costa
94518,26778,10638,14081235,5.437,37.950359000000006,-122.022034,Contra Costa
94519,18453,7246,11323357,4.372,37.988459999999996,-122.01303999999999,Contra Costa
94520,37208,13601,26130104,10.089,37.995283,-122.040624,Contra Costa
94521,41249,16269,33572538,12.962,37.956008000000004,-121.956195,Contra Costa
94523,33569,14505,18738956,7.235,37.954141,-122.076124,Contra Costa
94525,3127,1664,6093356,2.353,38.052951,-122.23209399999999,Contra Costa
94526,31102,12218,38668323,14.93,37.814613,-121.99055200000001,Contra Costa
94528,964,393,6072659,2.345,37.845601,-121.950612,Contra Costa
94530,23877,10914,12506021,4.829,37.921552,-122.29834699999999,Contra Costa
94531,40290,12494,28373833,10.955,37.965782,-121.77583,Contra Costa
94533,69277,24359,55951716,21.603,38.280863000000004,-122.006681,Solano
94534,36416,13331,205029594,79.16199999999999,38.244889,-122.13586200000002,Solano
94535,3793,1238,9871382,3.8110000000000004,38.282221,-121.92471499999999,Solano
94536,68790,25068,37767267,14.582,37.570508000000004,-121.98125,Alameda
94538,61148,21739,42636278,16.462,37.505767999999996,-121.96247199999999,Alameda
94539,50031,16100,65831999,25.418000000000003,37.516909999999996,-121.911763,Alameda
94541,61635,21989,19243298,7.43,37.673946,-122.08482,Alameda
94542,12717,4595,14773416,5.704,37.659883,-122.03714199999999,Alameda
94544,73026,23308,28378433,10.957,37.63382,-122.0572,Alameda
94545,29707,9477,55787089,21.54,37.605905,-122.126873,Alameda
94546,42209,16929,24404738,9.423,37.714509,-122.07954199999999,Alameda
94547,24092,8569,14095493,5.442,38.009937,-122.26185100000001,Contra Costa
94548,412,172,7157010,2.763,37.974295,-121.65144099999999,Contra Costa
94549,26864,10896,49746404,19.207,37.897009000000004,-122.11429199999999,Contra Costa
94550,46896,17858,602772633,232.732,37.526661,-121.58339099999999,Santa Clara
94550,46896,17858,602772633,232.732,37.526661,-121.58339099999999,Santa Clara
94551,36867,13566,204389976,78.915,37.750502000000004,-121.749055,Contra Costa
94551,36867,13566,204389976,78.915,37.750502000000004,-121.749055,Contra Costa
94552,14454,5067,116286622,44.898999999999994,37.72272,-122.021552,Alameda
94553,47065,19581,126758554,48.942,37.993891999999995,-122.13644099999999,Contra Costa
94555,34143,11096,30070498,11.61,37.548123,-122.09863500000002,Alameda
94556,15229,5817,31722307,12.248,37.840669,-122.11493600000001,Contra Costa
94558,66830,27133,921414306,355.76,38.442011,-122.23832,Napa
94559,27184,11014,94910435,36.645,38.245729,-122.313395,Napa
94560,42573,13414,35757865,13.806,37.504141,-122.03235900000001,Alameda
94561,36515,12080,43839147,16.926,37.993936,-121.69113899999999,Contra Costa
94563,17672,6816,44713551,17.264,37.879921,-122.184572,Contra Costa
94564,18287,7127,14477578,5.59,37.994038,-122.28258899999999,Contra Costa
94565,84641,27897,78214477,30.199,38.014576,-121.906255,Contra Costa
94566,40884,15329,50788269,19.609,37.648118,-121.849958,Alameda
94567,623,312,340358151,131.41299999999998,38.706906,-122.393997,Napa
94568,46016,15773,39588086,15.285,37.717399,-121.913048,Alameda
94569,198,115,6127472,2.366,38.044258,-122.198765,Contra Costa
94571,7911,4149,304636842,117.62100000000001,38.148862,-121.737696,Solano
94572,8684,3130,11244845,4.342,38.032719,-122.252247,Contra Costa
94573,94,53,2577621,0.995,38.458864,-122.428831,Napa
94574,8742,4406,330994478,127.79799999999999,38.542448,-122.419923,Napa
94575,974,1,433794,0.16699999999999998,37.840961,-122.109502,Contra Costa
94576,164,84,956949,0.369,38.549425,-122.47638300000001,Napa
94577,45560,17714,21107125,8.15,37.713275,-122.16735,Alameda
94578,38558,14808,11406269,4.404,37.706137,-122.125551,Alameda
94579,20571,7019,8113265,3.133,37.686491,-122.157201,Alameda
94580,27152,8958,8929836,3.448,37.675731,-122.133017,Alameda
94582,38537,13345,33663078,12.997,37.762174,-121.91578799999999,Contra Costa
94583,34859,13282,38727298,14.953,37.755503999999995,-121.973009,Contra Costa
94585,28263,9511,291131232,112.406,38.192498,-121.927529,Solano
94586,925,398,151891060,58.645,37.57459,-121.85370800000001,Alameda
94587,69516,21258,51075108,19.72,37.603156,-122.018638,Alameda
94588,30842,11263,84547541,32.644,37.792682,-121.86058999999999,Contra Costa
94588,30842,11263,84547541,32.644,37.792682,-121.86058999999999,Contra Costa
94589,29876,9973,29676409,11.458,38.18735,-122.224074,Solano
94589,29876,9973,29676409,11.458,38.18735,-122.224074,Solano
94590,35420,15729,15395883,5.944,38.103234,-122.249096,Solano
94591,53042,19644,55883798,21.576999999999998,38.122869,-122.196863,Solano
94592,742,319,10953975,4.229,38.089729999999996,-122.277394,Solano
94595,16425,10261,13930717,5.379,37.871953000000005,-122.06938600000001,Contra Costa
94596,20037,10198,15448709,5.965,37.889078999999995,-122.03756000000001,Contra Costa
94597,20277,10181,10139311,3.915,37.918195000000004,-122.071676,Contra Costa
94598,25818,10756,39493625,15.249,37.899936,-121.99924399999999,Contra Costa
94599,3021,1310,7593850,2.932,38.409878000000006,-122.36151100000001,Napa
94601,50294,16362,8410939,3.247,37.775545,-122.218705,Alameda
94602,28329,12498,8557026,3.304,37.804320000000004,-122.207545,Alameda
94603,31403,9950,8445735,3.261,37.736531,-122.179454,Alameda
94605,39016,16360,23196747,8.956,37.761408,-122.150198,Alameda
94606,36672,16289,5922461,2.287,37.791887,-122.24533400000001,Alameda
94607,24978,12086,15275654,5.898,37.807210999999995,-122.301491,Alameda
94608,28019,15101,7090119,2.738,37.836816999999996,-122.289569,Alameda
94609,20596,10348,4424277,1.7080000000000002,37.834391,-122.264374,Alameda
94610,29287,16450,5656311,2.184,37.811406,-122.24245800000001,Alameda
94611,36565,17999,27352180,10.561,37.829483,-122.20339299999999,Contra Costa
94611,36565,17999,27352180,10.561,37.829483,-122.20339299999999,Contra Costa
94612,14389,8921,2205251,0.851,37.8088,-122.269196,Alameda
94613,715,5,656685,0.254,37.780848999999996,-122.18286699999999,Alameda
94618,16046,7698,6281500,2.425,37.843962,-122.23811,Alameda
94619,23299,9644,40532270,15.65,37.781467,-122.13238,Alameda
94621,29870,9689,20144786,7.778,37.748272,-122.216825,Alameda
94702,15979,7959,3299367,1.274,37.865784000000005,-122.286326,Alameda
94703,19846,9468,3460814,1.3359999999999999,37.863906,-122.27564,Alameda
94704,25592,9683,2769877,1.069,37.866535999999996,-122.257995,Alameda
94705,12762,6133,8558635,3.305,37.865177,-122.23820900000001,Alameda
94706,19615,8429,3823559,1.476,37.889703999999995,-122.295526,Contra Costa
94706,19615,8429,3823559,1.476,37.889703999999995,-122.295526,Contra Costa
94707,11710,5198,4390733,1.695,37.898189,-122.27913000000001,Contra Costa
94707,11710,5198,4390733,1.695,37.898189,-122.27913000000001,Contra Costa
94708,10985,5047,8784938,3.392,37.902944,-122.26179499999999,Contra Costa
94708,10985,5047,8784938,3.392,37.902944,-122.26179499999999,Contra Costa
94709,11806,5605,1522484,0.588,37.879234000000004,-122.26683899999999,Alameda
94710,6948,2937,5566008,2.149,37.863914,-122.30646499999999,Alameda
94720,2964,105,1612536,0.623,37.873838,-122.254934,Alameda
94801,29395,10221,29210775,11.277999999999999,37.952844,-122.381974,Contra Costa
94803,24904,9675,30223793,11.669,37.959540000000004,-122.283555,Contra Costa
94804,38559,15257,16002841,6.178999999999999,37.916554999999995,-122.341233,Contra Costa
94805,13648,5446,5142991,1.986,37.942791,-122.322933,Contra Costa
94806,59861,20531,21583495,8.333,37.98079,-122.337627,Contra Costa
94850,0,0,109969,0.042,37.902226,-122.317378,Contra Costa
94901,41157,16408,34087837,13.161,37.978316,-122.496839,Marin
94903,29040,12603,51941338,20.055,38.022366,-122.555605,Marin
94904,11995,5759,18763550,7.245,37.945512,-122.56012,Marin
94920,12474,5817,16917954,6.532,37.885628999999994,-122.46858,Marin
94922,425,212,31919856,12.324000000000002,38.344946,-122.948799,Sonoma
94923,1411,1449,55431799,21.401999999999997,38.339953,-123.03505600000001,Sonoma
94924,1638,995,59879387,23.12,37.943087,-122.72379,Marin
94925,9253,4026,8193476,3.1639999999999997,37.932145,-122.50773500000001,Marin
94928,43170,16594,19951956,7.702999999999999,38.34642,-122.69412700000001,Sonoma
94929,264,426,2749903,1.062,38.25242,-122.962717,Marin
94930,8500,4023,41237691,15.922,37.943963000000004,-122.616418,Marin
94931,8470,3677,16452622,6.352,38.324132,-122.714633,Sonoma
94933,865,421,2835008,1.095,38.012599,-122.687478,Marin
94937,837,762,107741785,41.599,38.116188,-122.93023400000001,Marin
94938,812,417,27406981,10.582,38.029069,-122.726523,Marin
94939,6859,3582,5536933,2.138,37.937082000000004,-122.53236899999999,Marin
94940,268,197,58977903,22.771,38.17859,-122.883126,Marin
94941,30496,14108,57584368,22.233,37.897529,-122.56296100000002,Marin
94945,17167,7020,67357203,26.006999999999998,38.134068,-122.52718999999999,Marin
94946,699,351,113128397,43.678999999999995,38.082829,-122.671527,Marin
94947,24283,9772,58778749,22.695,38.112165999999995,-122.63438400000001,Marin
94949,17202,7282,38918837,15.027000000000001,38.067204,-122.524004,Marin
94950,89,54,22279973,8.602,38.024885,-122.759933,Marin
94951,4124,1794,37958330,14.655999999999999,38.320861,-122.646138,Sonoma
94952,32858,13904,466820751,180.24099999999999,38.234553000000005,-122.76038500000001,Sonoma
94952,32858,13904,466820751,180.24099999999999,38.234553000000005,-122.76038500000001,Sonoma
94954,37365,13915,160575265,61.998000000000005,38.235021,-122.557332,Sonoma
94956,1756,1064,151282609,58.411,38.045857,-122.861209,Marin
94957,1332,475,2963524,1.1440000000000001,37.963111,-122.563588,Marin
94960,15740,6791,15368189,5.934,37.995864000000005,-122.57781399999999,Marin
94963,569,259,6894481,2.662,38.013719,-122.67012,Marin
94964,5094,115,1009696,0.39,37.943257,-122.492151,Marin
94965,10847,6466,35020350,13.520999999999999,37.852903999999995,-122.547207,Marin
94970,683,818,18019764,6.957000000000001,37.914513,-122.64688999999998,Marin
94971,337,181,32062021,12.379000000000001,38.231532,-122.92825,Marin
94972,52,28,29959646,11.567,38.292103000000004,-122.971069,Marin
94973,1429,677,10318686,3.984,38.012696999999996,-122.63959799999999,Marin
95002,2077,614,31006231,11.972000000000001,37.438525,-122.011246,Santa Clara
95008,45260,19410,16543756,6.388,37.278563,-121.955101,Santa Clara
95013,80,32,3954839,1.527,37.215421,-121.741423,Santa Clara
95014,60717,22035,69748879,26.93,37.30661,-122.080628,Santa Clara
95020,57349,17629,403878926,155.939,37.018419,-121.554249,Santa Clara
95023,48841,15301,1067981566,412.35,36.902045,-121.350783,Santa Clara
95030,12791,5711,27046433,10.443,37.222788,-121.983274,Santa Clara
95032,25089,10568,41143975,15.886,37.216822,-121.926548,Santa Clara
95033,9372,4135,237460748,91.684,37.16132,-121.984916,Santa Clara
95035,66943,19874,60201550,23.244,37.443638,-121.874953,Santa Clara
95037,45579,15626,630183859,243.315,37.174063000000004,-121.598747,Santa Clara
95046,6417,1954,50452242,19.48,37.099308,-121.59924,Santa Clara
95050,35923,14855,13667199,5.277,37.351158,-121.95229499999999,Santa Clara
95051,54327,21119,17244623,6.6579999999999995,37.348651000000004,-121.984376,Santa Clara
95053,2206,21,442035,0.171,37.348725,-121.93755900000001,Santa Clara
95054,23364,8891,16222835,6.263999999999999,37.39349,-121.964672,Santa Clara
95070,30617,11379,66031411,25.495,37.257287,-122.04516399999999,Santa Clara
95076,82474,24331,353788509,136.599,36.946256,-121.756479,Santa Clara
95110,18730,6339,12086351,4.667,37.346608,-121.909871,Santa Clara
95111,58466,15511,13969546,5.394,37.283111,-121.826245,Santa Clara
95112,55927,20763,18370035,7.093,37.344507,-121.88353700000002,Santa Clara
95113,893,992,883438,0.341,37.333707000000004,-121.891049,Santa Clara
95116,51496,13663,9273431,3.58,37.350466,-121.852602,Santa Clara
95117,30067,11263,6659925,2.571,37.311181,-121.96186999999999,Santa Clara
95118,31932,11544,10735870,4.145,37.255519,-121.889982,Santa Clara
95119,9970,3200,7327319,2.8289999999999997,37.230059000000004,-121.7851,Santa Clara
95120,37457,12785,102966010,39.755,37.186141,-121.843554,Santa Clara
95121,37469,9625,11479041,4.4319999999999995,37.304151,-121.80986100000001,Santa Clara
95122,56545,12702,12351716,4.769,37.3287,-121.835328,Santa Clara
95123,62228,22035,21542559,8.318,37.244238,-121.831604,Santa Clara
95124,47082,17345,17015453,6.57,37.256766,-121.92276399999999,Santa Clara
95125,51939,21640,20732334,8.005,37.295097,-121.89143,Santa Clara
95126,31049,13815,8501814,3.283,37.326803000000005,-121.91676499999998,Santa Clara
95127,61325,16416,33699820,13.012,37.371078999999995,-121.800706,Santa Clara
95128,34836,14295,10111701,3.904,37.315976,-121.93631299999998,Santa Clara
95129,38720,14517,11686153,4.512,37.30574,-122.00091299999998,Santa Clara
95130,13911,5175,4034677,1.558,37.277121,-121.98613300000001,Santa Clara
95131,28565,9231,15058227,5.814,37.387105,-121.897415,Santa Clara
95132,40299,11899,132004424,50.967,37.424655,-121.74841,Santa Clara
95133,25401,7651,8241772,3.182,37.371645,-121.86076399999999,Santa Clara
